3_NDVI-C0/date,3_NDVI-C0/min,3_NDVI-C0/max,3_NDVI-C0/mean,3_NDVI-C0/stDev,3_NDVI-C0/sampleCount,3_NDVI-C0/noDataCount,3_NDVI-C0/median,3_NDVI-C0/p10,3_NDVI-C0/p90,3_NDVI-C0/cloudCoveragePercent
2019-03-17T00:00:00.000Z,-0.11967213451862335,0.7106178402900696,0.25071549469999027,0.3022527236500192,2343,1739,0.02024291455745697,-0.07401032745838165,0.6398654580116272,0
2019-03-22T00:00:00.000Z,-0.23784494400024414,0.7801018953323364,0.21084242042721527,0.36401177275950075,2343,1739,-0.04436860233545303,-0.1767195761203766,0.6797546148300171,0
2019-04-11T00:00:00.000Z,-0.02710413746535778,0.8930023312568665,0.5421840804621316,0.21465947247933656,2343,1739,0.5877193212509155,0.20912547409534454,0.8013715744018555,0
2019-05-01T00:00:00.000Z,-0.04307974502444267,0.9075302481651306,0.5203943866862456,0.2700511995911607,2343,1739,0.46528804302215576,0.17559152841567993,0.8456748723983765,0
2019-05-11T00:00:00.000Z,-0.9497907757759094,0.9341711401939392,0.19625437915531832,0.6498667177145082,2343,1739,0.1753246784210205,-0.5652173757553101,0.8851566314697266,0
2019-05-16T00:00:00.000Z,-0.20930232107639313,0.9146764874458313,0.4086720558692511,0.4291178315133656,2343,1739,0.26742300391197205,-0.1335740089416504,0.8736586570739746,0
2019-05-21T00:00:00.000Z,-0.13863636553287506,0.9137300252914429,0.4905987997434877,0.37161464426427826,2343,1739,0.5504424571990967,-0.03641456738114357,0.8775765299797058,0
2019-05-31T00:00:00.000Z,0.09153005480766296,0.7763184309005737,0.4434329193850221,0.2722115790671439,2343,1739,0.254557728767395,0.13439007103443146,0.7455259561538696,0
2019-06-10T00:00:00.000Z,-0.18741059303283691,0.868743896484375,0.3592834746448124,0.4557078815977383,2343,1739,0.10381077229976654,-0.1326259970664978,0.8400316834449768,0
2019-06-15T00:00:00.000Z,-0.03504673019051552,0.7616727352142334,0.34977586034175395,0.35744483903188423,2343,1739,0.05642420053482056,-0.018389346078038216,0.7337180376052856,0
2019-06-20T00:00:00.000Z,-0.061306532472372055,0.8039215803146362,0.36772692936600876,0.38525878541197467,2343,1739,0.12490180879831314,-0.035175878554582596,0.7777345776557922,0
2019-06-25T00:00:00.000Z,-0.1842818409204483,0.8565549850463867,0.39358107893729977,0.42002392507689973,2343,1739,0.22139303386211395,-0.0824742242693901,0.8342059254646301,0
2019-06-30T00:00:00.000Z,-0.13681869208812714,0.8253713250160217,0.3694106242276376,0.4072484599166372,2343,1739,0.10447761416435242,-0.08798485994338989,0.802628755569458,0
2019-07-05T00:00:00.000Z,-0.27272728085517883,0.8495049476623535,0.28882436105204295,0.5072151088517622,2343,1739,-0.14379802346229553,-0.23429951071739197,0.8258007764816284,0
2019-07-15T00:00:00.000Z,-0.5965664982795715,0.8842416405677795,0.15396000617584635,0.664620737153948,2343,1739,-0.4178861677646637,-0.5342960357666016,0.8549310564994812,0
2019-07-20T00:00:00.000Z,-0.20750552415847778,0.8276503682136536,0.2977773304041844,0.46245098502862897,2343,1739,-0.1082802563905716,-0.16969050467014313,0.7901667952537537,0
2019-07-25T00:00:00.000Z,-0.6577319502830505,0.881581723690033,0.14080988744039444,0.6747436783722459,2343,1739,-0.36223775148391724,-0.5766990184783936,0.8488211035728455,0
2019-07-30T00:00:00.000Z,-0.6984127163887024,0.8655087947845459,0.11799821272393722,0.6857518134230853,2343,1739,-0.4545454680919647,-0.6094117760658264,0.8346384167671204,0
2019-08-04T00:00:00.000Z,-0.20910075306892395,0.8049463629722595,0.280539324716819,0.4533365814765438,2343,1739,-0.12486883252859116,-0.17931793630123138,0.766508162021637,0
2019-08-09T00:00:00.000Z,-0.7846153974533081,0.8673607707023621,0.11670049072693542,0.6832953788923378,2343,1739,-0.400630921125412,-0.6066945791244507,0.8318670392036438,0
2019-08-14T00:00:00.000Z,-0.10673575103282928,0.7853260636329651,0.3182410064875383,0.38404580160539076,2343,1739,0.040449436753988266,-0.08422071486711502,0.7353488206863403,0
2019-08-19T00:00:00.000Z,-0.18994413316249847,0.8166391849517822,0.3546170757349892,0.3960441128401449,2343,1739,0.1512717604637146,-0.107604019343853,0.7759919762611389,0
2019-08-24T00:00:00.000Z,-0.3713298738002777,0.8485148549079895,0.35707523376489714,0.41947527808149504,2343,1739,0.17073170840740204,-0.1487889289855957,0.7986207008361816,0
2019-08-29T00:00:00.000Z,-0.06893616914749146,0.7418599128723145,0.35163209643413523,0.3139211319154602,2343,1739,0.14685314893722534,0.0044843051582574844,0.6965624094009399,0
2019-09-03T00:00:00.000Z,-0.2122241109609604,0.8293547630310059,0.3339309648276055,0.41976187405886534,2343,1739,0.053977273404598236,-0.14076782763004303,0.7881001830101013,0
2019-09-08T00:00:00.000Z,-0.12173912674188614,0.7498833537101746,0.2921195715197072,0.3766953068888758,2343,1739,-0.03788546100258827,-0.09582309424877167,0.7041139006614685,0
2019-09-13T00:00:00.000Z,-0.5030800700187683,0.8458753824234009,0.20229493488637787,0.556495590453379,2343,1739,-0.2402912676334381,-0.38652482628822327,0.796556293964386,0
2019-09-18T00:00:00.000Z,-0.3502993881702423,0.8416725397109985,0.31430407440107216,0.43669468405287526,2343,1739,0.049881234765052795,-0.18165136873722076,0.7834882736206055,0
2019-09-23T00:00:00.000Z,-0.15450644493103027,0.833290159702301,0.38606387559503325,0.36842231335652265,2343,1739,0.22175732254981995,-0.08061002194881439,0.7886850833892822,0
